LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
03-014-06-000,03-14-06-000,"Bustos, Bulacan",Bustos,Bulacan,Region III (Central Luzon),Municipality,2nd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/bustosbulacan,https://prod.ebpls.com/bustosbulacan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-053-07-000,17-53-07-000,"Busuanga, Palawan",Busuanga,Palawan,MIMAROPA Region,Municipality,3rd,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/busuangapalawan,https://prod.ebpls.com/busuangapalawan/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-083-02-000,09-83-02-000,"Buug, Zamboanga Sibugay",Buug,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,B,L,#REF!,#REF!,https://bpbc.ibpls.com/buugzamboangasibugay,https://prod.ebpls.com/buugzamboangasibugay/,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,[8] Withdraw,[D] Withdraw,LGU submitted letter of withdrawal on August 2024 to pave way for the implementation of eLGU. LOI for the eGOV-eLGU received from the LGU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-09-000,01-33-09-000,"Caba, La Union",Caba,La Union,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/cabalaunion,https://prod.ebpls.com/cabalaunion,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-06-000,02-31-06-000,"Cabagan, Isabela",Cabagan,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/cabaganisabela,https://prod.ebpls.com/cabaganisabela,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-071-02-000,03-71-02-000,"Cabangan, Zambales",Cabangan,Zambales,Region III (Central Luzon),Municipality,4th,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/cabanganzambales,https://prod.ebpls.com/cabanganzambales,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-057-02-000,02-57-02-000,"Cabarroguis, Quirino",Cabarroguis,Quirino,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/cabarroguisquirino,https://prod.ebpls.com/cabarroguisquirino,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-12-000,06-30-12-000,"Cabatuan, Iloilo",Cabatuan,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/cabatuaniloilo,https://prod.ebpls.com/cabatuaniloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-049-04-000,03-49-04-000,"Cabiao, Nueva Ecija",Cabiao,Nueva Ecija,Region III (Central Luzon),Municipality,1st,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/cabiaonuevaecija,https://prod.ebpls.com/cabiaonuevaecija,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-053-08-000,17-53-08-000,"Cagayancillo, Palawan",Cagayancillo,Palawan,MIMAROPA Region,Municipality,6th,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/cagayancillopalawan,https://prod.ebpls.com/cagayancillopalawan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-085-02-000,16-85-02-000,"Cagdianao, Dinagat Islands",Cagdianao,Dinagat Islands,Region XIII (Caraga),Municipality,3rd,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/cagdianaodinagatislands,https://prod.ebpls.com/cagdianaodinagatislands,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-068-04-000,16-68-04-000,"Cagwait, Surigao del Sur",Cagwait,Surigao del Sur,Region XIII (Caraga),Municipality,4th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/cagwaitsurigaodelsur,https://prod.ebpls.com/cagwaitsurigaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-078-04-000,08-78-04-000,"Caibiran, Biliran",Caibiran,Biliran,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#REF!,#REF!,https://bpbc.ibpls.com/caibiranbiliran,https://prod.ebpls.com/caibiranbiliran,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-059-03-000,17-59-03-000,"Cajidiocan, Romblon",Cajidiocan,Romblon,MIMAROPA Region,Municipality,4th,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/cajidiocanromblon,https://prod.ebpls.com/cajidiocanromblon/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-042-04-000,10-42-04-000,"Calamba, Misamis Occidental",Calamba,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/calambamisamisoccidental,https://prod.ebpls.com/calambamisamisoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-17-000,01-55-17-000,"Calasiao, Pangasinan",Calasiao,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/calasiaopangasinan,https://prod.ebpls.com/calasiaopangasinan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-010-08-000,04-10-08-000,"Calatagan, Batangas",Calatagan,Batangas,Region IV-A (CALABARZON),Municipality,2nd,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/calataganbatangas,https://prod.ebpls.com/calataganbatangas,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-059-04-000,17-59-04-000,"Calatrava, Romblon",Calatrava,Romblon,MIMAROPA Region,Municipality,5th,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/calatravaromblon,https://prod.ebpls.com/calatravaromblon/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-056-07-000,04-56-07-000,"Calauag, Quezon",Calauag,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/calauagquezon,https://prod.ebpls.com/calauagquezon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-034-06-000,04-34-06-000,"Calauan, Laguna",Calauan,Laguna,Region IV-A (CALABARZON),Municipality,2nd,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/calauanlaguna,https://prod.ebpls.com/calauanlaguna,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-060-04-000,08-60-04-000,"Calbiga, Samar",Calbiga,Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/calbigasamar,https://prod.ebpls.com/calbigasamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-13-000,06-30-13-000,"Calinog, Iloilo",Calinog,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/calinogiloilo,https://prod.ebpls.com/calinogiloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-051-02-000,17-51-02-000,"Calintaan, Occidental Mindoro",Calintaan,Occidental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/calintaanoccidentalmindoro,https://prod.ebpls.com/calintaanoccidentalmindoro,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-13-000,08-37-13-000,"Calubian, Leyte",Calubian,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/calubianleyte,https://prod.ebpls.com/calubianleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-041-03-000,05-41-03-000,"Balud, Masbate",Balud,Masbate,Region V (Bicol Region),Municipality,4th*,R5,B,H,#REF!,#REF!,,https://prod.ebpls.com/baludmasbate,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-10-000,02-15-10-000,"Camalaniugan, Cagayan",Camalaniugan,Cagayan,Region II (Cagayan Valley),Municipality,4th,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/camalaniugancagayan,https://prod.ebpls.com/camalaniugancagayan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-005-02-000,05-05-02-000,"Camalig, Albay",Camalig,Albay,Region V (Bicol Region),Municipality,1st,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/camaligalbay,https://prod.ebpls.com/camaligalbay,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-017-09-000,05-17-09-000,"Camaligan, Camarines Sur",Camaligan,Camarines Sur,Region V (Bicol Region),Municipality,5th,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/camaligancamarinessur,https://prod.ebpls.com/camaligancamarinessur,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-069-03-000,03-69-03-000,"Camiling, Tarlac",Camiling,Tarlac,Region III (Central Luzon),Municipality,1st,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/camilingtarlac,https://prod.ebpls.com/camilingtarlac/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-026-05-000,08-26-05-000,"Can-Avid, Eastern Samar",Can-Avid,Eastern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/canavideasternsamar,https://prod.ebpls.com/can-avideasternsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of June 2025,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-017-10-000,05-17-10-000,"Canaman, Camarines Sur",Canaman,Camarines Sur,Region V (Bicol Region),Municipality,4th,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/canamancamarinessur,https://prod.ebpls.com/canamancamarinessur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-05-000,03-54-05-000,"Candaba, Pampanga",Candaba,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/candabapampanga,https://prod.ebpls.com/candabapampanga,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-056-08-000,04-56-08-000,"Candelaria, Quezon",Candelaria,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/candelariaquezon,https://prod.ebpls.com/candelariaquezon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",[1] Operational,[A] Operational,"Launched Linkbiz ePayment on November 20, 2024",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-11-000,07-12-11-000,"Candijay, Bohol",Candijay,Bohol,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/candijaybohol,https://prod.ebpls.com/candijaybohol,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-045-06-000,06-45-06-000,"Candoni, Negros Occidental",Candoni,Negros Occidental,Region VI (Western Visayas),Municipality,4th,R6,B,I,#REF!,#REF!,https://bpbc.ibpls.com/candoninegrosoccidental,https://prod.ebpls.com/candoninegrosoccidental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[6] With Concerns,[C] For Training/Others,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-068-05-000,16-68-05-000,"Cantilan, Surigao del Sur",Cantilan,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/cantilansurigaodelsur,https://prod.ebpls.com/cantilansurigaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-029-07-000,01-29-07-000,"Caoayan, Ilocos Sur",Caoayan,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/caoayanilocossur,https://prod.ebpls.com/caoayanilocossur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-016-02-000,05-16-02-000,"Capalonga, Camarines Norte",Capalonga,Camarines Norte,Region V (Bicol Region),Municipality,3rd,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/capalongacamarinesnorte,https://prod.ebpls.com/capalongacamarinesnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-025-04-000,11-25-04-000,"Caraga, Davao Oriental",Caraga,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,A,P,#REF!,#REF!,https://bpbc.ibpls.com/caragadavaooriental,https://prod.ebpls.com/caragadavaooriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
