,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"La Paz, Leyte",,,,,,08-037-28-000,08-37-28-000,"La Paz, Leyte",La Paz,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,2022,https://bldg.ibpls.com/lapazleyte,https://co.ibpls.com/lapazleyte,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Leyte, Leyte",,,,,,08-037-29-000,08-37-29-000,"Leyte, Leyte",Leyte,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,A,K,2022,https://bldg.ibpls.com/leyteleyte/,https://co.ibpls.com/leyteleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Palo, Leyte",,,,,,08-037-39-000,08-37-39-000,"Palo, Leyte",Palo,Leyte,Region VIII (Eastern Visayas),Municipality,3rd,R8,A,K,2020,https://bldg.ibpls.com/paloleyte/,https://co.ibpls.com/paloleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pastrana, Leyte",,,,,,08-037-41-000,08-37-41-000,"Pastrana, Leyte",Pastrana,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,A,K,2022,https://bldg.ibpls.com/pastranaleyte/,https://co.ibpls.com/pastranaleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Zero transactions for the month of March 2025,[1] Operational,[A] Operational,Zero transactions for the month of April 2025,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of July 2025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pambujan, Northern Samar",,,,,,08-048-15-000,08-48-15-000,"Pambujan, Northern Samar",Pambujan,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,2021,https://bldg.ibpls.com/pambujannorthernsamar/,https://co.ibpls.com/pambujannorthernsamar/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Roque, Northern Samar",,,,,,08-048-20-000,08-48-20-000,"San Roque, Northern Samar",San Roque,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,2021,https://bldg.ibpls.com/sanroquenorthernsamar/,https://co.ibpls.com/sanroquenorthernsamar/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Zero transactions for the month of January 2025,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of May 2025,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of July 2025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Basey, Samar",,,,,,08-060-02-000,08-60-02-000,"Basey, Samar",Basey,Samar,Region VIII (Eastern Visayas),Municipality,1st,R8,B,K,2021,https://bldg.ibpls.com/baseysamar/,https://co.ibpls.com/baseysamar/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gandara, Samar",,,,,,08-060-07-000,08-60-07-000,"Gandara, Samar",Gandara,Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,2021,https://bldg.ibpls.com/gandarasamar,https://co.ibpls.com/gandarasamar,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[2] Pilot Testing,[B] Developmental,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jiabong, Samar",,,,,,08-060-09-000,08-60-09-000,"Jiabong, Samar",Jiabong,Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,2022,https://bldg.ibpls.com/jiabongsamar/,https://co.ibpls.com/jiabongsamar/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Maasin, Southern Leyte",,,,,,08-064-07-000,08-64-07-000,"City of Maasin, Southern Leyte",City of Maasin,Southern Leyte,Region VIII (Eastern Visayas),City,4th,R8,A,K,2022,https://bldg.ibpls.com/maasinsouthernleyte/,https://co.ibpls.com/maasinsouthernleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Macrohon, Southern Leyte",,,,,,08-064-08-000,08-64-08-000,"Macrohon, Southern Leyte",Macrohon,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,2022,https://bldg.ibpls.com/macrohonsouthernleyte/,https://co.ibpls.com/macrohonsouthernleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Juan, Southern Leyte",,,,,,08-064-14-000,08-64-14-000,"San Juan, Southern Leyte",San Juan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,2021,https://bldg.ibpls.com/sanjuansouthernleyte/,https://co.ibpls.com/sanjuansouthernleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sogod, Southern Leyte",,,,,,08-064-17-000,08-64-17-000,"Sogod, Southern Leyte",Sogod,Southern Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,2021,https://bldg.ibpls.com/sogodsouthernleyte/,https://co.ibpls.com/sogodsouthernleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tomas Oppus, Southern Leyte",,,,,,08-064-18-000,08-64-18-000,"Tomas Oppus, Southern Leyte",Tomas Oppus,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,2022,https://bldg.ibpls.com/tomasoppussouthernleyte/,https://co.ibpls.com/tomasoppussouthernleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kawayan, Biliran",,,,,,08-078-06-000,08-78-06-000,"Kawayan, Biliran",Kawayan,Biliran,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,2021,https://bldg.ibpls.com/kawayanbiliran,https://co.ibpls.com/kawayanbiliran,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naval, Biliran",,,,,,08-078-08-000,08-78-08-000,"Naval, Biliran",Naval,Biliran,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,2021,https://bldg.ibpls.com/navalbiliran/,https://co.ibpls.com/navalbiliran/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Polanco, Zamboanga del Norte",,,,,,09-072-10-000,09-72-10-000,"Polanco, Zamboanga del Norte",Polanco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,A,L,2021,https://bldg.ibpls.com/polancozamboangadelnorte/,https://co.ibpls.com/polancozamboangadelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pres. Manuel A. Roxas, Zamboanga del Norte",,,,,,09-072-11-000,09-72-11-000,"Pres. Manuel A. Roxas, Zamboanga del Norte",Pres. Manuel A. Roxas,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,B,L,2022,https://bldg.ibpls.com/presmanuelaroxaszamboangadelnorte/,https://co.ibpls.com/presmanuelaroxaszamboangadelnorte/,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Rizal, Zamboanga del Norte",,,,,,09-072-12-000,09-72-12-000,"Rizal, Zamboanga del Norte",Rizal,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,5th,R9,B,L,2022,https://bldg.ibpls.com/rizalzamboangadelnorte/,https://co.ibpls.com/rizalzamboangadelnorte/,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Siayan, Zamboanga del Norte",,,,,,09-072-15-000,09-72-15-000,"Siayan, Zamboanga del Norte",Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,B,L,2021,https://bldg.ibpls.com/siayanzamboangadelnorte/,https://co.ibpls.com/siayanzamboangadelnorte/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sindangan, Zamboanga del Norte",,,,,,09-072-18-000,09-72-18-000,"Sindangan, Zamboanga del Norte",Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,B,L,2022,https://bldg.ibpls.com/sindanganzamboangadelnorte/,https://co.ibpls.com/sindanganzamboangadelnorte/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dumingag, Zamboanga del Sur",,,,,,09-073-08-000,09-73-08-000,"Dumingag, Zamboanga del Sur",Dumingag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,B,L,2020,https://bldg.ibpls.com/dumingagzamboangadelsur/,https://co.ibpls.com/dumingagzamboangadelsur/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Labangan, Zamboanga del Sur",,,,,,09-073-12-000,09-73-12-000,"Labangan, Zamboanga del Sur",Labangan,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,B,L,2022,https://bldg.ibpls.com/labanganzamboangadelsur/,https://co.ibpls.com/labanganzamboangadelsur/,2023-01,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Pablo, Zamboanga del Sur",,,,,,09-073-25-000,09-73-25-000,"San Pablo, Zamboanga del Sur",San Pablo,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th*,R9,B,L,2022,https://bldg.ibpls.com/sanpablozamboangadelsur/,https://co.ibpls.com/sanpablozamboangadelsur/,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lakewood, Zamboanga del Sur",,,,,,09-073-33-000,09-73-33-000,"Lakewood, Zamboanga del Sur",Lakewood,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,B,L,2022,https://bldg.ibpls.com/lakewoodzamboangadelsur/,https://co.ibpls.com/lakewoodzamboangadelsur/,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Guipos, Zamboanga del Sur",,,,,,09-073-43-000,09-73-43-000,"Guipos, Zamboanga del Sur",Guipos,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,B,L,2021,https://bldg.ibpls.com/guiposzamboangadelsur/,https://co.ibpls.com/guiposzamboangadelsur/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Titay, Zamboanga Sibugay",,,,,,09-083-15-000,09-83-15-000,"Titay, Zamboanga Sibugay",Titay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,A,L,2021,https://bldg.ibpls.com/titayzamboangasibugay/,https://co.ibpls.com/titayzamboangasibugay/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Matanao, Davao del Sur",,,,,,11-024-10-000,09-83-15-000,"Matanao, Davao del Sur",Matanao,Davao del Sur,Region XI (Davao Region),Municipality,2nd,R11,A,P,2021,https://bldg.ibpls.com/matanaodavaodelsur,https://co.ibpls.com/matanaodavaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sablayan, Occidental Mindoro",,,,,,17-051-09-000,09-83-15-000,"Sablayan, Occidental Mindoro",Sablayan,Occidental Mindoro,MIMAROPA Region,Municipality,1st,R4B,A,G,2021,https://bldg.ibpls.com/sablayanoccidentalmindoro,https://co.ibpls.com/sablayanoccidentalmindoro/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Mandaue, Cebu",,,,,,07-313-00-000,09-83-15-000,"City of Mandaue, Cebu",City of Mandaue,Cebu,Region VII (Central Visayas),City,1st,R7,A,J,2021,https://bldg.ibpls.com/mandauecitycebu,https://co.ibpls.com/mandauecitycebu,2022-12,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Himamaylan, Negros Occidental",,,,,,06-045-10-000,09-83-15-000,"City of Himamaylan, Negros Occidental",City of Himamaylan,Negros Occidental,Region VI (Western Visayas),City,3rd,R6,A,I,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Remigio, Antique",,,,,,06-006-14-000,09-83-15-000,"San Remigio, Antique",San Remigio,Antique,Region VI (Western Visayas),Municipality,3rd,R6,A,I,2021,,,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kananga, Leyte",,,,,,08-037-26-000,09-83-15-000,"Kananga, Leyte",Kananga,Leyte,Region VIII (Eastern Visayas),Municipality,1st,R8,A,K,2021,,,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mahinog, Camiguin",,,,,,10-018-03-000,09-83-15-000,"Mahinog, Camiguin",Mahinog,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,A,N,2021,,,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mambajao, Camiguin",,,,,,10-018-04-000,09-83-15-000,"Mambajao, Camiguin",Mambajao,Camiguin,Region X (Northern Mindanao),Municipality,3rd,R10,A,N,2021,,,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naawan, Misamis Oriental",,,,,,10-043-20-000,09-83-15-000,"Naawan, Misamis Oriental",Naawan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,2021,,,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"M'Lang, Cotabato",,,,,,12-047-10-000,09-83-15-000,"M'Lang, Cotabato",M'Lang,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,2021,,,2022-12,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
